Airport,Year,Month,Public Parking Counts at PA Airports 
Kennedy International Airport,2014,11,296647
Kennedy International Airport,2014,12,327984
Kennedy International Airport,2015,1,315111
Kennedy International Airport,2015,2,257943
Kennedy International Airport,2015,3,313585
Kennedy International Airport,2015,4,325505
Kennedy International Airport,2015,5,344876
Kennedy International Airport,2015,6,375231
Kennedy International Airport,2015,7,418615
Kennedy International Airport,2015,8,433528
Kennedy International Airport,2015,9,355968
Kennedy International Airport,2015,10,332576
Kennedy International Airport,2015,11,301477
Kennedy International Airport,2015,12,338196
Kennedy International Airport,2016,1,321060
Kennedy International Airport,2016,2,269176
Kennedy International Airport,2016,3,313331
Kennedy International Airport,2016,4,326042
Kennedy International Airport,2016,5,352086
Kennedy International Airport,2016,6,375360
Kennedy International Airport,2016,7,425571
Kennedy International Airport,2016,8,423183
Kennedy International Airport,2016,9,346183
Newark Liberty International Airport,2002,1,391773
Newark Liberty International Airport,2002,2,372018
Newark Liberty International Airport,2002,3,443142
Newark Liberty International Airport,2002,4,430709
Newark Liberty International Airport,2002,5,456380
Newark Liberty International Airport,2002,6,467954
Newark Liberty International Airport,2002,7,455912
Newark Liberty International Airport,2002,8,442644
Newark Liberty International Airport,2002,9,338234
Newark Liberty International Airport,2002,10,368835
Newark Liberty International Airport,2002,11,360758
Newark Liberty International Airport,2002,12,378699
Newark Liberty International Airport,2003,1,346762
Newark Liberty International Airport,2003,2,298528
Newark Liberty International Airport,2003,3,354643
Newark Liberty International Airport,2003,4,335801
Newark Liberty International Airport,2003,5,370461
Newark Liberty International Airport,2003,6,392649
Newark Liberty International Airport,2003,7,430360
Newark Liberty International Airport,2003,8,445253
Newark Liberty International Airport,2003,9,342331
Newark Liberty International Airport,2003,10,366152
Newark Liberty International Airport,2003,11,352091
Newark Liberty International Airport,2003,12,363096
Newark Liberty International Airport,2004,1,341978
Newark Liberty International Airport,2004,2,325652
Newark Liberty International Airport,2004,3,378973
Newark Liberty International Airport,2004,4,368431
Newark Liberty International Airport,2004,5,370007
Newark Liberty International Airport,2004,6,389747
Newark Liberty International Airport,2004,7,421109
Newark Liberty International Airport,2004,8,416470
Newark Liberty International Airport,2004,9,335861
Newark Liberty International Airport,2004,10,356070
Newark Liberty International Airport,2004,11,343929
Newark Liberty International Airport,2004,12,349119
Newark Liberty International Airport,2005,1,326004
Newark Liberty International Airport,2005,2,298272
Newark Liberty International Airport,2005,3,366031
Newark Liberty International Airport,2005,4,354059
Newark Liberty International Airport,2005,5,366254
Newark Liberty International Airport,2005,6,374228
Newark Liberty International Airport,2005,7,402777
Newark Liberty International Airport,2005,8,405472
Newark Liberty International Airport,2005,9,343355
