"","Airport","Year","Month","Coach.Passengers","Public.Parking.Counts.at.PA.Airports","Shared.Ride.Passengers.x","Shared.Ride.Passengers.y","Taxi.Dispatched","Domestic.Passengers","International.Passengers","Total.Passengers"
"1272","LGA",2003,5,35063,196814,NA,NA,325219,1886078,83215,1969293
"1273","LGA",2003,6,35035,202957,NA,NA,314955,1899492,93062,1992554
"1274","LGA",2003,7,37306,221800,NA,NA,301470,1969507,103140,2072647
"1275","LGA",2003,8,37108,232250,NA,NA,306492,1991701,104442,2096143
"1276","LGA",2003,9,31574,171749,NA,NA,274033,1653420,83125,1736545
"1277","LGA",2003,10,35355,195034,NA,NA,288939,1923958,93700,2017658
"1278","LGA",2003,11,32915,187932,NA,NA,278138,1843391,85411,1928802
"1279","LGA",2003,12,35604,191582,NA,NA,289875,1866899,80723,1947622
"1280","LGA",2004,1,25015,170076,NA,NA,266611,1538918,67856,1606774
"1281","LGA",2004,2,22422,170000,NA,NA,336646,1648419,75651,1724070
"1282","LGA",2004,3,30249,191826,NA,NA,299148,1892149,88169,1980318
"1283","LGA",2004,4,30068,195421,NA,NA,306801,2052048,97878,2149926
"1284","LGA",2004,5,37127,193284,NA,NA,317899,1971188,103867,2075055
"1285","LGA",2004,6,40213,201867,NA,NA,322326,2040763,109654,2150417
"1286","LGA",2004,7,43257,212560,NA,NA,293220,2029260,120831,2150091
"1287","LGA",2004,8,40227,216342,NA,NA,292022,2096899,132308,2229207
"1288","LGA",2004,9,37615,174222,NA,NA,295930,1800554,109514,1910068
"1289","LGA",2004,10,40268,195313,NA,NA,319237,2038554,126175,2164729
"1290","LGA",2004,11,37567,190887,NA,NA,330296,2031132,119376,2150508
"1291","LGA",2004,12,37718,193299,NA,NA,333978,2051726,110314,2162040
"1292","LGA",2005,1,33390,177031,11842,11842,298477,1737565,107534,1845099
"1293","LGA",2005,2,27919,167407,11667,11667,275856,1735356,112447,1847803
"1294","LGA",2005,3,37527,201780,17220,17220,321983,2116868,130757,2247625
"1295","LGA",2005,4,34901,189202,15297,15297,311448,2155693,122314,2278007
"1296","LGA",2005,5,41216,201247,18458,18458,346942,2226903,136900,2363803
"1297","LGA",2005,6,40140,204715,18316,18316,349200,2171577,135874,2307451
"1298","LGA",2005,7,38650,208696,21795,21795,315646,2198819,139614,2338433
"1299","LGA",2005,8,37726,206428,19041,19041,332791,2178445,137723,2316168
"1300","LGA",2005,9,33759,170213,16120,16120,317341,1930206,119712,2049918
"1301","LGA",2005,10,29949,170994,16105,16105,317971,1929177,115967,2045144
"1302","LGA",2005,11,32694,175389,15073,15073,322921,2015567,113472,2129039
"1303","LGA",2005,12,36326,177558,20203,20203,313913,2022055,98815,2120870
"1304","LGA",2006,1,27944,166889,14273,14273,304959,1789716,93538,1883254
"1305","LGA",2006,2,23258,155549,12671,12671,273033,1718656,89943,1808599
"1306","LGA",2006,3,31876,187841,20840,20840,319214,2145004,109035,2254039
"1307","LGA",2006,4,29213,182373,19266,19266,305114,2179389,104173,2283562
"1308","LGA",2006,5,38125,176267,21127,21127,321971,2188837,118371,2307208
"1309","LGA",2006,6,36968,188250,23518,23518,331600,2207115,116348,2323463
"1310","LGA",2006,7,35016,192270,23125,23125,304212,2170480,118430,2288910
"1311","LGA",2006,8,35377,188409,21701,21701,323040,2187589,131127,2318716
"1312","LGA",2006,9,31594,154488,17240,17240,299165,1856415,115412,1971827
"1313","LGA",2006,10,31271,168505,17624,17624,315545,2023061,111106,2134167
"1314","LGA",2006,11,32753,166830,16925,16925,312535,2031169,105794,2136963
"1315","LGA",2006,12,33799,159395,19726,19726,316408,1999551,100344,2099895
"1316","LGA",2007,1,27664,148195,12740,12740,307599,1736905,86167,1823072
"1317","LGA",2007,2,23671,134815,12443,12443,285342,1635327,82441,1717768
"1318","LGA",2007,3,30821,159866,19186,19186,322078,2006142,97912,2104054
"1319","LGA",2007,4,30138,160659,21251,21251,325514,2101837,103078,2204915
"1320","LGA",2007,5,36880,165867,18842,18842,332949,2152015,110897,2262912
"1321","LGA",2007,6,35876,168554,18861,18861,324894,2104271,109583,2213854
"1322","LGA",2007,7,33705,175463,19857,19857,316422,2161005,112822,2273827
"1323","LGA",2007,8,36084,176684,18553,18553,355174,2260178,125780,2385958
"1324","LGA",2007,9,32091,139408,13469,13469,307230,1847770,104142,1951912
"1325","LGA",2007,10,31967,156253,14198,14198,329083,2009476,108201,2117677
"1326","LGA",2007,11,31566,151805,13114,13114,312251,1968216,95978,2064194
"1327","LGA",2007,12,29512,136791,14917,14917,310301,1816223,89901,1906124
"1328","LGA",2008,1,23916,131862,11351,11351,291071,1629370,89169,1718539
"1329","LGA",2008,2,20712,128409,9607,9607,362434,1596247,89121,1685368
"1330","LGA",2008,3,26690,147948,15087,15087,312462,1927550,97931,2025481
"1331","LGA",2008,4,22829,145188,12635,12635,302866,1914963,93162,2008125
"1332","LGA",2008,5,33636,143221,15399,15399,321154,1993688,100989,2094677
"1333","LGA",2008,6,31441,146118,17422,17422,310508,1950273,96158,2046431
"1334","LGA",2008,7,29069,156218,15768,15768,311820,2057938,99600,2157538
"1335","LGA",2008,8,38168,156900,16930,16930,317762,2062772,108298,2171070
"1336","LGA",2008,9,27541,120422,12133,12133,287181,1650215,90674,1740889
"1337","LGA",2008,10,26763,130115,12652,12652,279207,1812797,93514,1906311
"1338","LGA",2008,11,25488,114568,10512,10512,264368,1621829,84748,1706577
"1339","LGA",2008,12,25795,124501,13885,13885,274369,1723750,88300,1812050
"1340","LGA",2009,1,21109,104265,8727,8727,236182,1413644,68151,1481795
"1341","LGA",2009,2,18185,102145,8180,8180,221873,1366727,68248,1434975
"1342","LGA",2009,3,24519,113840,12942,12942,263227,1665130,82531,1747661
"1343","LGA",2009,4,24809,120477,13909,13909,259171,1756004,82600,1838604
"1344","LGA",2009,5,24764,118642,13989,13989,284835,1766907,91485,1858392
"1345","LGA",2009,6,26779,133840,17902,17902,271135,1833892,86320,1920212
"1346","LGA",2009,7,33982,148461,19336,19336,269992,2031010,93047,2124057
"1347","LGA",2009,8,35950,144611,17858,17858,290611,2048463,96330,2144793
"1348","LGA",2009,9,33081,117021,15917,15917,280417,1763572,86576,1850148
"1349","LGA",2009,10,28626,125938,16144,16144,295822,1892205,92484,1984689
"1350","LGA",2009,11,29534,120539,13073,13073,279361,1790837,76643,1867480
"1351","LGA",2009,12,31609,120278,17401,17401,294993,1814622,85808,1900430
"1352","LGA",2010,1,23049,109281,10484,10484,259602,1538945,60405,1599350
"1353","LGA",2010,2,19196,95746,9107,9107,229385,1403170,56837,1460007
"1354","LGA",2010,3,27372,128485,15761,15761,300002,1873436,84077,1957513
"1355","LGA",2010,4,33293,129291,15282,15282,300096,1972712,90362,2063074
"1356","LGA",2010,5,37659,130791,17806,17806,326460,2030954,97780,2128734
"1357","LGA",2010,6,36182,138255,19990,19990,322540,2033339,92752,2126091
"1358","LGA",2010,7,38012,146571,19926,19926,307001,2085743,95818,2181561
"1359","LGA",2010,8,40288,146484,17671,17671,314979,2177789,106580,2284369
"1360","LGA",2010,9,37959,124625,15568,15568,320301,1934759,93407,2028166
"1361","LGA",2010,10,36072,134677,16156,16156,330176,2076770,94415,2171185
"1362","LGA",2010,11,34649,126557,13840,13840,314169,1974646,80564,2055210
"1363","LGA",2010,12,37031,120112,16408,16408,283679,1847852,79970,1927822
"1364","LGA",2011,1,9770,103601,11057,11057,263657,1571377,65614,1636991
"1365","LGA",2011,2,13723,99047,9146,9146,234873,1495060,60852,1555912
"1366","LGA",2011,3,17816,127068,16373,16373,302601,1932517,75602,2008119
"1367","LGA",2011,4,16833,125446,14405,14405,293496,1951493,79120,2030613
"1368","LGA",2011,5,32122,133424,17427,17427,334850,2097610,94555,2192165
"1369","LGA",2011,6,20201,138035,18415,18415,317462,2076672,93008,2169680
"1370","LGA",2011,7,18213,140040,18341,18341,309058,2118203,99491,2217694
"1371","LGA",2011,8,19354,136312,15190,15190,296724,2066419,102204,2168623
"1372","LGA",2011,9,21626,119120,13745,13745,317810,1895083,97222,1992305
"1373","LGA",2011,10,21210,123220,14663,14663,321595,2007632,98306,2105938
"1374","LGA",2011,11,21153,121090,14188,14188,310914,1955839,83443,2039282
"1375","LGA",2011,12,20822,115406,16417,16417,283084,1918851,86305,2005156
"1376","LGA",2012,1,15275,105691,10148,10148,282443,1652614,75207,1727821
"1377","LGA",2012,2,14786,105079,10117,10117,268567,1623437,75192,1698629
"1378","LGA",2012,3,20057,123759,16393,16393,307341,1982554,91965,2074519
"1379","LGA",2012,4,21687,126679,14753,14753,319754,2111555,94931,2206486
"1380","LGA",2012,5,27379,131873,17884,17884,352534,2195624,107034,2302658
"1381","LGA",2012,6,26365,134524,20601,20601,320456,2146424,133795,2280219
"1382","LGA",2012,7,25292,138600,20928,20928,318778,2131226,151729,2282955
"1383","LGA",2012,8,27506,144247,21781,21781,337060,2365071,173232,2538303
"1384","LGA",2012,9,24717,121618,17868,17868,324349,1988164,145186,2133350
"1385","LGA",2012,10,21843,121532,17685,17685,305820,2035268,140731,2175999
"1386","LGA",2012,11,23204,117556,16386,16386,302004,1962093,122441,2084534
"1387","LGA",2012,12,23271,122469,18601,18601,330057,2079999,122312,2202311
"1388","LGA",2013,1,17724,112645,12782,12782,296721,1818815,108468,1927283
"1389","LGA",2013,2,14936,104215,10633,10633,268351,1670234,102620,1772854
"1390","LGA",2013,3,23306,126450,17061,17061,317339,2171871,134091,2305962
"1391","LGA",2013,4,20607,123859,14733,14733,328174,2119247,128948,2248195
"1392","LGA",2013,5,27481,127945,16951,16951,357855,2214654,157181,2371835
"1393","LGA",2013,6,25615,130027,17246,17246,331551,2176267,154110,2330377
"1394","LGA",2013,7,25225,132026,17912,17912,317190,2214278,165402,2379680
"1395","LGA",2013,8,27584,132365,17733,17733,315625,2328892,191141,2520033
"1396","LGA",2013,9,23705,112348,13549,13549,302302,1954875,151082,2105957
"1397","LGA",2013,10,24199,124018,14536,14536,307727,2160223,160386,2320609
"1398","LGA",2013,11,17488,111541,13430,13430,307794,1962790,129508,2092298
"1399","LGA",2013,12,19597,114432,16473,16473,330721,2161426,144591,2306017
"1400","LGA",2014,1,25557,101669,11690,11690,290663,1740863,120174,1861037
"1401","LGA",2014,2,14134,84435,9637,9637,253301,1574688,110754,1685442
"1402","LGA",2014,3,22309,106491,15982,15982,311124,2122691,143960,2266651
"1403","LGA",2014,4,21963,107804,13102,13102,311824,2195152,150849,2346001
"1404","LGA",2014,5,15464,115810,15148,15148,341414,2285832,162175,2448007
"1405","LGA",2014,6,24645,115418,16813,16813,333192,2236604,166038,2402642
"1406","LGA",2014,7,26287,116491,16948,16948,315074,2275495,165138,2440633
"1407","LGA",2014,8,27910,111105,15947,15947,312387,2330939,191571,2522510
"1408","LGA",2014,9,23770,94592,13373,13373,304018,1981632,163490,2145122
"1409","LGA",2014,10,21900,100812,14516,14516,313172,2187774,167691,2355465
"1410","LGA",2014,11,16817,96394,11797,11797,297961,2021647,131768,2153415
"1411","LGA",2014,12,24004,95164,15431,15431,315756,2203885,141285,2345170
"1412","LGA",2015,1,18113,81784,9336,9336,244472,1721701,110101,1831802
"1413","LGA",2015,2,15736,78844,8321,8321,238991,1719642,111968,1831610
"1414","LGA",2015,3,22360,95749,13719,13719,291024,2195996,134620,2330616
"1415","LGA",2015,4,21852,97617,12038,12038,NA,2283953,149326,2433279
"1416","LGA",2015,5,27890,96448,13182,13182,NA,2355438,167917,2523355
"1417","LGA",2015,6,27636,103214,14707,14707,NA,2358051,176206,2534257
"1418","LGA",2015,7,27516,108105,15607,15607,NA,2494981,178108,2673089
"1419","LGA",2015,8,29153,109035,13402,13402,NA,2493267,182041,2675308
"1420","LGA",2015,9,25194,95713,11401,11401,NA,2192655,147775,2340430
"1421","LGA",2015,10,24726,105713,11619,11619,NA,2382229,147655,2529884
"1422","LGA",2015,11,20631,98958,9783,9783,NA,2210872,122683,2333555
"1423","LGA",2015,12,24162,99579,12880,12880,NA,2276138,124345,2400483
"1424","LGA",2016,1,NA,86903,NA,NA,NA,NA,NA,NA
"1425","LGA",2016,2,NA,86374,NA,NA,NA,NA,NA,NA
"1426","LGA",2016,3,NA,104536,NA,NA,NA,NA,NA,NA
"1427","LGA",2016,4,NA,103143,NA,NA,NA,NA,NA,NA
"1428","LGA",2016,5,NA,106766,NA,NA,NA,NA,NA,NA
"1429","LGA",2016,6,NA,109532,NA,NA,NA,NA,NA,NA
"1430","LGA",2016,7,NA,68013,NA,NA,NA,NA,NA,NA
"1431","LGA",2016,8,NA,54454,NA,NA,NA,NA,NA,NA
"1432","LGA",2016,9,NA,43005,NA,NA,NA,NA,NA,NA
"1433","Stewart International Airport",2002,1,NA,0,NA,NA,NA,NA,NA,NA
"1434","Stewart International Airport",2002,2,NA,0,NA,NA,NA,NA,NA,NA
"1435","Stewart International Airport",2002,3,NA,0,NA,NA,NA,NA,NA,NA
"1436","Stewart International Airport",2002,4,NA,0,NA,NA,NA,NA,NA,NA
"1437","Stewart International Airport",2002,5,NA,0,NA,NA,NA,NA,NA,NA
"1438","Stewart International Airport",2002,6,NA,0,NA,NA,NA,NA,NA,NA
"1439","Stewart International Airport",2002,7,NA,0,NA,NA,NA,NA,NA,NA
"1440","Stewart International Airport",2002,8,NA,0,NA,NA,NA,NA,NA,NA
"1441","Stewart International Airport",2002,9,NA,0,NA,NA,NA,NA,NA,NA
"1442","Stewart International Airport",2002,10,NA,0,NA,NA,NA,NA,NA,NA
"1443","Stewart International Airport",2002,11,NA,0,NA,NA,NA,NA,NA,NA
"1444","Stewart International Airport",2002,12,NA,0,NA,NA,NA,NA,NA,NA
"1445","Stewart International Airport",2003,1,NA,0,NA,NA,NA,NA,NA,NA
"1446","Stewart International Airport",2003,2,NA,0,NA,NA,NA,NA,NA,NA
"1447","Stewart International Airport",2003,3,NA,0,NA,NA,NA,NA,NA,NA
"1448","Stewart International Airport",2003,4,NA,0,NA,NA,NA,NA,NA,NA
"1449","Stewart International Airport",2003,5,NA,0,NA,NA,NA,NA,NA,NA
"1450","Stewart International Airport",2003,6,NA,0,NA,NA,NA,NA,NA,NA
"1451","Stewart International Airport",2003,7,NA,0,NA,NA,NA,NA,NA,NA
"1452","Stewart International Airport",2003,8,NA,0,NA,NA,NA,NA,NA,NA
"1453","Stewart International Airport",2003,9,NA,0,NA,NA,NA,NA,NA,NA
"1454","Stewart International Airport",2003,10,NA,0,NA,NA,NA,NA,NA,NA
"1455","Stewart International Airport",2003,11,NA,0,NA,NA,NA,NA,NA,NA
"1456","Stewart International Airport",2003,12,NA,0,NA,NA,NA,NA,NA,NA
"1457","Stewart International Airport",2004,1,NA,0,NA,NA,NA,NA,NA,NA
"1458","Stewart International Airport",2004,2,NA,0,NA,NA,NA,NA,NA,NA
"1459","Stewart International Airport",2004,3,NA,0,NA,NA,NA,NA,NA,NA
"1460","Stewart International Airport",2004,4,NA,0,NA,NA,NA,NA,NA,NA
"1461","Stewart International Airport",2004,5,NA,0,NA,NA,NA,NA,NA,NA
"1462","Stewart International Airport",2004,6,NA,0,NA,NA,NA,NA,NA,NA
"1463","Stewart International Airport",2004,7,NA,0,NA,NA,NA,NA,NA,NA
"1464","Stewart International Airport",2004,8,NA,0,NA,NA,NA,NA,NA,NA
"1465","Stewart International Airport",2004,9,NA,0,NA,NA,NA,NA,NA,NA
"1466","Stewart International Airport",2004,10,NA,0,NA,NA,NA,NA,NA,NA
"1467","Stewart International Airport",2004,11,NA,0,NA,NA,NA,NA,NA,NA
"1468","Stewart International Airport",2004,12,NA,0,NA,NA,NA,NA,NA,NA
"1469","Stewart International Airport",2005,1,NA,0,NA,NA,NA,NA,NA,NA
"1470","Stewart International Airport",2005,2,NA,0,NA,NA,NA,NA,NA,NA
"1471","Stewart International Airport",2005,3,NA,0,NA,NA,NA,NA,NA,NA
"1472","Stewart International Airport",2005,4,NA,0,NA,NA,NA,NA,NA,NA
"1473","Stewart International Airport",2005,5,NA,0,NA,NA,NA,NA,NA,NA
"1474","Stewart International Airport",2005,6,NA,0,NA,NA,NA,NA,NA,NA
"1475","Stewart International Airport",2005,7,NA,0,NA,NA,NA,NA,NA,NA
"1476","Stewart International Airport",2005,8,NA,0,NA,NA,NA,NA,NA,NA
"1477","Stewart International Airport",2005,9,NA,0,NA,NA,NA,NA,NA,NA
"1478","Stewart International Airport",2005,10,NA,0,NA,NA,NA,NA,NA,NA
"1479","Stewart International Airport",2005,11,NA,0,NA,NA,NA,NA,NA,NA
"1480","Stewart International Airport",2005,12,NA,0,NA,NA,NA,NA,NA,NA
"1481","Stewart International Airport",2006,1,NA,0,NA,NA,NA,NA,NA,NA
"1482","Stewart International Airport",2006,2,NA,0,NA,NA,NA,NA,NA,NA
"1483","Stewart International Airport",2006,3,NA,0,NA,NA,NA,NA,NA,NA
"1484","Stewart International Airport",2006,4,NA,0,NA,NA,NA,NA,NA,NA
"1485","Stewart International Airport",2006,5,NA,0,NA,NA,NA,NA,NA,NA
"1486","Stewart International Airport",2006,6,NA,0,NA,NA,NA,NA,NA,NA
"1487","Stewart International Airport",2006,7,NA,0,NA,NA,NA,NA,NA,NA
"1488","Stewart International Airport",2006,8,NA,0,NA,NA,NA,NA,NA,NA
"1489","Stewart International Airport",2006,9,NA,0,NA,NA,NA,NA,NA,NA
"1490","Stewart International Airport",2006,10,NA,0,NA,NA,NA,NA,NA,NA
"1491","Stewart International Airport",2006,11,NA,0,NA,NA,NA,NA,NA,NA
"1492","Stewart International Airport",2006,12,NA,0,NA,NA,NA,NA,NA,NA
"1493","Stewart International Airport",2007,1,NA,0,NA,NA,NA,NA,NA,NA
"1494","Stewart International Airport",2007,2,NA,0,NA,NA,NA,NA,NA,NA
"1495","Stewart International Airport",2007,3,NA,0,NA,NA,NA,NA,NA,NA
"1496","Stewart International Airport",2007,4,NA,0,NA,NA,NA,NA,NA,NA
"1497","Stewart International Airport",2007,5,NA,0,NA,NA,NA,NA,NA,NA
"1498","Stewart International Airport",2007,6,NA,0,NA,NA,NA,NA,NA,NA
"1499","Stewart International Airport",2007,7,NA,0,NA,NA,NA,NA,NA,NA
"1500","Stewart International Airport",2007,8,NA,0,NA,NA,NA,NA,NA,NA
"1501","Stewart International Airport",2007,9,NA,0,NA,NA,NA,NA,NA,NA
"1502","Stewart International Airport",2007,10,NA,0,NA,NA,NA,NA,NA,NA
"1503","Stewart International Airport",2007,11,NA,0,NA,NA,NA,NA,NA,NA
"1504","Stewart International Airport",2007,12,NA,0,NA,NA,NA,NA,NA,NA
"1505","Stewart International Airport",2008,1,NA,34901,NA,NA,NA,NA,NA,NA
"1506","Stewart International Airport",2008,2,NA,46868,NA,NA,NA,NA,NA,NA
"1507","Stewart International Airport",2008,3,NA,52174,NA,NA,NA,NA,NA,NA
"1508","Stewart International Airport",2008,4,NA,46903,NA,NA,NA,NA,NA,NA
"1509","Stewart International Airport",2008,5,NA,31862,NA,NA,NA,NA,NA,NA
"1510","Stewart International Airport",2008,6,NA,25322,NA,NA,NA,NA,NA,NA
"1511","Stewart International Airport",2008,7,NA,28942,NA,NA,NA,NA,NA,NA
"1512","Stewart International Airport",2008,8,NA,28769,NA,NA,NA,NA,NA,NA
"1513","Stewart International Airport",2008,9,NA,13536,NA,NA,NA,NA,NA,NA
"1514","Stewart International Airport",2008,10,NA,14637,NA,NA,NA,NA,NA,NA
"1515","Stewart International Airport",2008,11,NA,14524,NA,NA,NA,NA,NA,NA
"1516","Stewart International Airport",2008,12,NA,14637,NA,NA,NA,NA,NA,NA
"1517","Stewart International Airport",2009,1,NA,13738,NA,NA,NA,NA,NA,NA
"1518","Stewart International Airport",2009,2,NA,14683,NA,NA,NA,NA,NA,NA
"1519","Stewart International Airport",2009,3,NA,14867,NA,NA,NA,NA,NA,NA
"1520","Stewart International Airport",2009,4,NA,14268,NA,NA,NA,NA,NA,NA
"1521","Stewart International Airport",2009,5,NA,12708,NA,NA,NA,NA,NA,NA
"1522","Stewart International Airport",2009,6,NA,10534,NA,NA,NA,NA,NA,NA
"1523","Stewart International Airport",2009,7,NA,11532,NA,NA,NA,NA,NA,NA
"1524","Stewart International Airport",2009,8,NA,12071,NA,NA,NA,NA,NA,NA
"1525","Stewart International Airport",2009,9,NA,11097,NA,NA,NA,NA,NA,NA
"1526","Stewart International Airport",2009,10,NA,13108,NA,NA,NA,NA,NA,NA
"1527","Stewart International Airport",2009,11,NA,14405,NA,NA,NA,NA,NA,NA
"1528","Stewart International Airport",2009,12,NA,14352,NA,NA,NA,NA,NA,NA
"1529","Stewart International Airport",2010,1,NA,7315,NA,NA,NA,NA,NA,NA
"1530","Stewart International Airport",2010,2,NA,6657,NA,NA,NA,NA,NA,NA
"1531","Stewart International Airport",2010,3,NA,8258,NA,NA,NA,NA,NA,NA
"1532","Stewart International Airport",2010,4,NA,7856,NA,NA,NA,NA,NA,NA
"1533","Stewart International Airport",2010,5,NA,8573,NA,NA,NA,NA,NA,NA
"1534","Stewart International Airport",2010,6,NA,7991,NA,NA,NA,NA,NA,NA
"1535","Stewart International Airport",2010,7,NA,8472,NA,NA,NA,NA,NA,NA
"1536","Stewart International Airport",2010,8,NA,8358,NA,NA,NA,NA,NA,NA
"1537","Stewart International Airport",2010,9,NA,7339,NA,NA,NA,NA,NA,NA
"1538","Stewart International Airport",2010,10,NA,7593,NA,NA,NA,NA,NA,NA
"1539","Stewart International Airport",2010,11,NA,7580,NA,NA,NA,NA,NA,NA
"1540","Stewart International Airport",2010,12,NA,8501,NA,NA,NA,NA,NA,NA
"1541","Stewart International Airport",2011,1,NA,7054,NA,NA,NA,NA,NA,NA
"1542","Stewart International Airport",2011,2,NA,6357,NA,NA,NA,NA,NA,NA
"1543","Stewart International Airport",2011,3,NA,7665,NA,NA,NA,NA,NA,NA
"1544","Stewart International Airport",2011,4,NA,7609,NA,NA,NA,NA,NA,NA
"1545","Stewart International Airport",2011,5,NA,8339,NA,NA,NA,NA,NA,NA
"1546","Stewart International Airport",2011,6,NA,8488,NA,NA,NA,NA,NA,NA
"1547","Stewart International Airport",2011,7,NA,9519,NA,NA,NA,NA,NA,NA
"1548","Stewart International Airport",2011,8,NA,9390,NA,NA,NA,NA,NA,NA
"1549","Stewart International Airport",2011,9,NA,7340,NA,NA,NA,NA,NA,NA
"1550","Stewart International Airport",2011,10,NA,7951,NA,NA,NA,NA,NA,NA
"1551","Stewart International Airport",2011,11,NA,7372,NA,NA,NA,NA,NA,NA
"1552","Stewart International Airport",2011,12,NA,7490,NA,NA,NA,NA,NA,NA
"1553","Stewart International Airport",2012,1,NA,6772,NA,NA,NA,NA,NA,NA
"1554","Stewart International Airport",2012,2,NA,6766,NA,NA,NA,NA,NA,NA
"1555","Stewart International Airport",2012,3,NA,7935,NA,NA,NA,NA,NA,NA
"1556","Stewart International Airport",2012,4,NA,7164,NA,NA,NA,NA,NA,NA
"1557","Stewart International Airport",2012,5,NA,6902,NA,NA,NA,NA,NA,NA
"1558","Stewart International Airport",2012,6,NA,7182,NA,NA,NA,NA,NA,NA
"1559","Stewart International Airport",2012,7,NA,8045,NA,NA,NA,NA,NA,NA
"1560","Stewart International Airport",2012,8,NA,8028,NA,NA,NA,NA,NA,NA
"1561","Stewart International Airport",2012,9,NA,5294,NA,NA,NA,NA,NA,NA
"1562","Stewart International Airport",2012,10,NA,5542,NA,NA,NA,NA,NA,NA
"1563","Stewart International Airport",2012,11,NA,5387,NA,NA,NA,NA,NA,NA
"1564","Stewart International Airport",2012,12,NA,5767,NA,NA,NA,NA,NA,NA
"1565","Stewart International Airport",2013,1,NA,5377,NA,NA,NA,NA,NA,NA
"1566","Stewart International Airport",2013,2,NA,5134,NA,NA,NA,NA,NA,NA
"1567","Stewart International Airport",2013,3,NA,6358,NA,NA,NA,NA,NA,NA
"1568","Stewart International Airport",2013,4,NA,6078,NA,NA,NA,NA,NA,NA
"1569","Stewart International Airport",2013,5,NA,5695,NA,NA,NA,NA,NA,NA
"1570","Stewart International Airport",2013,6,NA,5904,NA,NA,NA,NA,NA,NA
"1571","Stewart International Airport",2013,7,NA,7032,NA,NA,NA,NA,NA,NA
"1572","Stewart International Airport",2013,8,NA,6897,NA,NA,NA,NA,NA,NA
"1573","Stewart International Airport",2013,9,NA,5861,NA,NA,NA,NA,NA,NA
"1574","Stewart International Airport",2013,10,NA,5905,NA,NA,NA,NA,NA,NA
"1575","Stewart International Airport",2013,11,NA,5697,NA,NA,NA,NA,NA,NA
"1576","Stewart International Airport",2013,12,NA,6094,NA,NA,NA,NA,NA,NA
"1577","Stewart International Airport",2014,1,NA,5644,NA,NA,NA,NA,NA,NA
"1578","Stewart International Airport",2014,2,NA,4982,NA,NA,NA,NA,NA,NA
"1579","Stewart International Airport",2014,3,NA,5678,NA,NA,NA,NA,NA,NA
"1580","Stewart International Airport",2014,4,NA,6054,NA,NA,NA,NA,NA,NA
"1581","Stewart International Airport",2014,5,NA,6287,NA,NA,NA,NA,NA,NA
"1582","Stewart International Airport",2014,6,NA,5863,NA,NA,NA,NA,NA,NA
"1583","Stewart International Airport",2014,7,NA,6404,NA,NA,NA,NA,NA,NA
"1584","Stewart International Airport",2014,8,NA,6247,NA,NA,NA,NA,NA,NA
"1585","Stewart International Airport",2014,9,NA,5873,NA,NA,NA,NA,NA,NA
"1586","Stewart International Airport",2014,10,NA,5706,NA,NA,NA,NA,NA,NA
"1587","Stewart International Airport",2014,11,NA,5298,NA,NA,NA,NA,NA,NA
"1588","Stewart International Airport",2014,12,NA,5407,NA,NA,NA,NA,NA,NA
"1589","Stewart International Airport",2015,1,NA,4825,NA,NA,NA,NA,NA,NA
"1590","Stewart International Airport",2015,2,NA,4508,NA,NA,NA,NA,NA,NA
"1591","Stewart International Airport",2015,3,NA,4974,NA,NA,NA,NA,NA,NA
"1592","Stewart International Airport",2015,4,NA,5807,NA,NA,NA,NA,NA,NA
"1593","Stewart International Airport",2015,5,NA,5778,NA,NA,NA,NA,NA,NA
"1594","Stewart International Airport",2015,6,NA,5582,NA,NA,NA,NA,NA,NA
"1595","Stewart International Airport",2015,7,NA,6245,NA,NA,NA,NA,NA,NA
"1596","Stewart International Airport",2015,8,NA,6248,NA,NA,NA,NA,NA,NA
"1597","Stewart International Airport",2015,9,NA,5063,NA,NA,NA,NA,NA,NA
"1598","Stewart International Airport",2015,10,NA,5298,NA,NA,NA,NA,NA,NA
"1599","Stewart International Airport",2015,11,NA,4718,NA,NA,NA,NA,NA,NA
"1600","Stewart International Airport",2015,12,NA,4749,NA,NA,NA,NA,NA,NA
"1601","Stewart International Airport",2016,1,NA,4621,NA,NA,NA,NA,NA,NA
"1602","Stewart International Airport",2016,2,NA,4265,NA,NA,NA,NA,NA,NA
"1603","Stewart International Airport",2016,3,NA,5138,NA,NA,NA,NA,NA,NA
"1604","Stewart International Airport",2016,4,NA,5309,NA,NA,NA,NA,NA,NA
"1605","Stewart International Airport",2016,5,NA,4764,NA,NA,NA,NA,NA,NA
"1606","Stewart International Airport",2016,6,NA,4994,NA,NA,NA,NA,NA,NA
"1607","Stewart International Airport",2016,7,NA,5730,NA,NA,NA,NA,NA,NA
"1608","Stewart International Airport",2016,8,NA,5559,NA,NA,NA,NA,NA,NA
"1609","Stewart International Airport",2016,9,NA,5680,NA,NA,NA,NA,NA,NA
